,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
9197,Asia Motor Works,Auto Components ,4.0,80 Reviews,22 years old,"Salary & Benefits, Work Life Balance, Job Security",
9198,RMS,Industrial Automation ,4.0,80 Reviews,36 years old,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal
9199,B.P. Poddar Hospital & Medical Research,Healthcare ,3.4,80 Reviews,20 years old,"Job Security, Company Culture, Work Life Balance",
9200,Arihant Superstructures,Real Estate ,3.0,80 Reviews,41 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
9201,SecureNow Insurance Broker,Insurance ,3.5,80 Reviews,13 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
9202,Andhra Petrochemicals,Chemicals / Agri Inputs ,4.0,80 Reviews,40 years old,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
9203,Manipal Group,Healthcare ,4.1,80 Reviews,71 years old,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
9204,Goddres Pharmaceuticals,Pharma ,3.2,80 Reviews,13 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
9205,Vertexplus Technologies,IT Services & Consulting ,2.2,80 Reviews,14 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
9206,Ceipal,Software Product ,3.3,80 Reviews,,"Job Security, Promotions / Appraisal, Work Satisfaction",
9207,Punjab State Power Corporation,Power ,3.9,80 Reviews,,"Promotions / Appraisal, Job Security, Company Culture",
9208,Fourth Partner Energy,Power ,4.2,80 Reviews,14 years old,"Work Life Balance, Company Culture, Job Security",
9209,Axis Asset Management Company,Financial Services ,4.2,80 Reviews,15 years old,"Skill Development / Learning, Work Life Balance, Company Culture",
9210,Cozmo Travel,Travel & Tourism ,4.0,80 Reviews,14 years old,"Work Life Balance, Work Satisfaction, Skill Development / Learning",
9211,Insurance Company,Real Estate ,3.9,80 Reviews,,"Company Culture, Job Security, Skill Development / Learning",
9212,BYD Electronics,Electronics Manufacturing ,3.2,80 Reviews,29 years old,"Promotions / Appraisal, Company Culture, Job Security",
9213,CL MICROMED,Medical Equipment ,3.7,80 Reviews,37 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
9214,Volansys Technologies,IT Services & Consulting ,3.6,80 Reviews,16 years old,"Salary & Benefits, Work Satisfaction, Company Culture",
9215,WEBSOL ENERGY SYSTEMS,Semiconductors ,3.5,80 Reviews,34 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Company Culture"
9216,SVG Express Services,BPO ,3.5,80 Reviews,22 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
9217,Nium,,3.1,80 Reviews,,"Job Security, Promotions / Appraisal, Work Satisfaction",
9218,MPMKVVCL,Government ,3.6,79 Reviews,22 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
9219,Fourth Dimension Technologies,IT Services & Consulting ,3.9,79 Reviews,35 years old,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal"
9220,MPMKVVCL,Government ,3.6,79 Reviews,22 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
9221,Fourth Dimension Technologies,IT Services & Consulting ,3.9,79 Reviews,35 years old,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal"
9222,Jai Beverages,Beverage ,3.8,79 Reviews,,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
9223,codeMantra,IT Services & Consulting ,3.3,78 Reviews,20 years old,"Job Security, Promotions / Appraisal, Company Culture",
9224,Pravin Masalewale,Food Processing ,4.3,86 Reviews,62 years old,"Company Culture, Work Life Balance, Job Security",
9225,CLIRNet,Internet ,3.4,85 Reviews,9 years old,"Work Satisfaction, Work Life Balance, Promotions / Appraisal",
9226,Oasis Infobyte,,4.1,85 Reviews,,"Work Life Balance, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
9227,Juspay Technologies,FinTech ,4.0,84 Reviews,12 years old,"Skill Development / Learning, Job Security, Company Culture",
9228,Kroll,Management Consulting ,3.9,84 Reviews,92 years old,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security, Skill Development / Learning"
9229,ContactPoint 360,Other ,4.4,84 Reviews,17 years old,"Work Life Balance, Work Satisfaction, Company Culture",
9230,Jocata Financial Advisory and Technology,Financial Services ,3.6,83 Reviews,14 years old,"Work Life Balance, Promotions / Appraisal, Company Culture",
9231,Nesto Hypermarket,,4.0,83 Reviews,20 years old,"Company Culture, Promotions / Appraisal, Work Satisfaction",
9232,Arrivae,Internet ,3.4,83 Reviews,7 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
9233,DPS International,Education & Training ,4.0,83 Reviews,10 years old,Promotions / Appraisal,
9234,Hester Biosciences,Biotechnology ,4.0,83 Reviews,41 years old,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
9235,Agrawal Metal Works,Metals & Mining ,4.0,83 Reviews,68 years old,"Job Security, Work Life Balance, Company Culture",
9236,Vrinsoft Technology,IT Services & Consulting ,4.6,83 Reviews,15 years old,"Company Culture, Job Security, Work Satisfaction",
9237,Propelld,Internet ,4.2,83 Reviews,8 years old,"Company Culture, Skill Development / Learning, Job Security",Promotions / Appraisal
9238,Herman Miller,Furniture & Furnishing ,4.4,83 Reviews,119 years old,"Work Life Balance, Company Culture, Job Security",
9239,KW Group,Non-Profit ,3.7,82 Reviews,14 years old,Promotions / Appraisal,
9240,Contus,IT Services & Consulting ,4.5,82 Reviews,16 years old,"Skill Development / Learning, Work Satisfaction, Work Life Balance",
9241,Amol Pharmaceuticals,Pharma ,4.4,82 Reviews,28 years old,"Work Life Balance, Company Culture, Work Satisfaction",
9242,KW Group,Non-Profit ,3.7,82 Reviews,14 years old,Promotions / Appraisal,
9243,Mindbody,IT Services & Consulting ,3.4,82 Reviews,23 years old,Work Life Balance,"Job Security, Promotions / Appraisal, Skill Development / Learning"
9244,Redisolve Software,Software Product ,3.2,82 Reviews,44 years old,"Job Security, Promotions / Appraisal, Company Culture",
9245,Seco Komos Automotive,Auto Components ,3.9,82 Reviews,57 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
9246,Vinsum Axpress,Logistics ,3.5,82 Reviews,,"Job Security, Promotions / Appraisal, Company Culture",
9247,Shiv Nadar University,Education & Training ,4.4,82 Reviews,13 years old,"Work Life Balance, Job Security, Company Culture",
9248,Brennan IT,IT Services & Consulting ,3.8,81 Reviews,27 years old,Skill Development / Learning,Promotions / Appraisal
9249,Mersen,,3.8,81 Reviews,133 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
9250,Admiral Solutions,IT Services & Consulting ,4.0,81 Reviews,16 years old,"Company Culture, Job Security, Salary & Benefits",
9251,AIT Global,IT Services & Consulting ,4.2,81 Reviews,21 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
9252,Vishal Enterprises,Fashion & Textile ,4.1,81 Reviews,40 years old,Skill Development / Learning,Promotions / Appraisal
9253,Alacrity Ecommerce Solutions Private Limited,IT Services & Consulting ,3.5,81 Reviews,14 years old,"Promotions / Appraisal, Work Life Balance, Job Security",
9254,Snap-on Business Solutions,IT Services & Consulting ,3.8,81 Reviews,28 years old,"Job Security, Work Life Balance","Skill Development / Learning, Salary & Benefits, Work Satisfaction"
9255,Johnson Electric,Electronics Manufacturing ,3.5,81 Reviews,65 years old,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
9256,Arkade Group,Real Estate ,4.7,81 Reviews,38 years old,"Company Culture, Work Satisfaction, Job Security",
9257,Shreeja Mahila Milk Producer Company,Food Processing ,4.4,81 Reviews,,"Company Culture, Work Life Balance, Job Security",
9258,TekisHub Consulting Services,IT Services & Consulting ,4.3,81 Reviews,,"Company Culture, Work Life Balance, Work Satisfaction",
9259,Daksh eServices,BPO ,3.8,81 Reviews,,Job Security,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
9260,Arkade Group,Real Estate ,4.7,81 Reviews,38 years old,"Company Culture, Work Satisfaction, Job Security",
9261,Alacrity Ecommerce Solutions Private Limited,IT Services & Consulting ,3.5,81 Reviews,14 years old,"Promotions / Appraisal, Work Life Balance, Job Security",
9262,Snap-on Business Solutions,IT Services & Consulting ,3.8,81 Reviews,28 years old,"Job Security, Work Life Balance","Skill Development / Learning, Salary & Benefits, Work Satisfaction"
9263,SmartWorld Developers,Real Estate ,4.5,81 Reviews,,"Salary & Benefits, Company Culture, Work Life Balance",
9264,Cornerstone OnDemand,Software Product ,3.8,81 Reviews,25 years old,"Salary & Benefits, Work Life Balance","Work Satisfaction, Promotions / Appraisal, Job Security"
9265,Dhanuka Laboratories,Pharma ,4.1,80 Reviews,,"Job Security, Skill Development / Learning, Work Life Balance",
9266,Myanatomy Integration,Recruitment ,4.5,80 Reviews,8 years old,"Work Satisfaction, Company Culture, Work Life Balance",
9267,Panasonic Energy India Co,Auto Components ,3.7,80 Reviews,52 years old,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
9268,Tata Steel Mining,Metals & Mining ,3.9,80 Reviews,20 years old,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
9269,Spectro Analytical Labs,Clinical Research ,3.1,80 Reviews,29 years old,"Company Culture, Promotions / Appraisal, Job Security",
9270,Techflow Engineers India,Iron & Steel ,4.5,80 Reviews,29 years old,"Job Security, Skill Development / Learning, Company Culture",
9271,ALBANY MOLECULAR RESEARCH INC,Pharma ,4.2,80 Reviews,33 years old,"Work Life Balance, Salary & Benefits, Skill Development / Learning",
9272,Fortune Business Insights,,4.1,80 Reviews,,"Work Life Balance, Company Culture, Job Security",
9273,iXceed Solutions,Recruitment ,4.0,80 Reviews,7 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
9274,Ayushman Hospital & Health Services,Healthcare ,4.1,80 Reviews,16 years old,Work Satisfaction,"Promotions / Appraisal, Salary & Benefits"
9275,Elcomponics Sales,Electronics Manufacturing ,2.8,80 Reviews,36 years old,"Promotions / Appraisal, Company Culture, Skill Development / Learning",
9276,Aggreko,Power ,4.5,80 Reviews,62 years old,"Skill Development / Learning, Company Culture, Salary & Benefits",
9277,SeedWorks International,Agriculture ,4.4,80 Reviews,26 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
9278,Ascentrik Research Services,IT Services & Consulting ,1.7,80 Reviews,14 years old,"Company Culture, Job Security, Promotions / Appraisal",
9279,Mahaveer Group,Real Estate ,3.2,80 Reviews,26 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
9280,ALBANY MOLECULAR RESEARCH INC,Pharma ,4.2,80 Reviews,33 years old,"Work Life Balance, Salary & Benefits, Skill Development / Learning",
9281,Spectro Analytical Labs,Clinical Research ,3.1,80 Reviews,29 years old,"Company Culture, Promotions / Appraisal, Job Security",
9282,Panasonic Energy India Co,Auto Components ,3.7,80 Reviews,52 years old,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
9283,Techflow Engineers India,Iron & Steel ,4.5,80 Reviews,29 years old,"Job Security, Skill Development / Learning, Company Culture",
9284,Myanatomy Integration,Recruitment ,4.5,80 Reviews,8 years old,"Work Satisfaction, Company Culture, Work Life Balance",
9285,Ayushman Hospital & Health Services,Healthcare ,4.1,80 Reviews,16 years old,Work Satisfaction,"Promotions / Appraisal, Salary & Benefits"
9286,Rajasthan Antibiotics,Pharma ,3.9,80 Reviews,33 years old,Skill Development / Learning,Promotions / Appraisal
9287,Bangalore Metro Rail Corporation,Urban Transport ,3.9,80 Reviews,13 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Company Culture"
9288,GRP,Auto Components ,4.0,80 Reviews,50 years old,Promotions / Appraisal,
9289,Bird Group,Aviation ,3.3,80 Reviews,53 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
9290,Simple Energy,Automobile ,3.6,80 Reviews,5 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
9291,Fortune Business Insights,,4.1,80 Reviews,,"Work Life Balance, Company Culture, Job Security",
9292,iXceed Solutions,Recruitment ,4.0,80 Reviews,7 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
9293,Zynova Shalby Multispecialty Hospitals,Healthcare ,4.7,80 Reviews,3 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
9294,VRP Telematics,Retail ,3.7,80 Reviews,19 years old,Skill Development / Learning,"Job Security, Promotions / Appraisal"
9295,SoftNice,IT Services & Consulting ,3.6,79 Reviews,23 years old,"Job Security, Promotions / Appraisal, Skill Development / Learning",
9296,AbsolutData,IT Services & Consulting ,3.6,79 Reviews,23 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
9297,Customer Analytics,IT Services & Consulting ,4.2,79 Reviews,31 years old,"Work Life Balance, Job Security, Salary & Benefits",
9298,Delta Power Solutions,Electronics Manufacturing ,4.2,79 Reviews,53 years old,"Skill Development / Learning, Work Satisfaction, Work Life Balance","Promotions / Appraisal, Job Security, Salary & Benefits"
9299,Indeed,Internet ,4.0,79 Reviews,20 years old,"Work Life Balance, Salary & Benefits, Company Culture",
9300,Kingdom of Dreams,Media & Entertainment ,3.5,79 Reviews,14 years old,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",
9301,Saviance Technologies,IT Services & Consulting ,4.6,79 Reviews,25 years old,"Work Life Balance, Company Culture, Work Satisfaction",
9302,Viom Networks,Telecom ,4.2,79 Reviews,14 years old,"Job Security, Salary & Benefits",
9303,Schenck Process India,Industrial Machinery ,3.7,79 Reviews,143 years old,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
9304,Freshersworld.com,Recruitment ,4.0,79 Reviews,18 years old,"Job Security, Company Culture, Work Life Balance",
9305,Fitkids Education and Training,Education & Training ,3.1,79 Reviews,15 years old,"Job Security, Salary & Benefits, Promotions / Appraisal",
9306,Bdh Industries,Pharma ,4.7,79 Reviews,34 years old,"Work Satisfaction, Skill Development / Learning, Company Culture",
9307,Savvysoft Technologies,Recruitment ,4.1,79 Reviews,25 years old,"Job Security, Salary & Benefits, Work Satisfaction",
9308,Vegazva Engineering,IT Services & Consulting ,3.3,79 Reviews,17 years old,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
9309,Sparsh BPO Services,BPO ,3.9,79 Reviews,46 years old,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal
9310,BACS HITECH ENGINEERING,Engineering & Construction ,4.1,79 Reviews,6 years old,"Work Satisfaction, Skill Development / Learning",
9311,Jones Lang Lasalle Property and Asset  management.,Real Estate ,4.3,79 Reviews,,"Skill Development / Learning, Company Culture, Work Satisfaction",
9312,Bharuch Enviro Infrastructure,Real Estate ,4.1,79 Reviews,27 years old,"Job Security, Salary & Benefits, Company Culture",
9313,Tynor Orthotics,Fitness & Wellness ,3.7,79 Reviews,31 years old,"Promotions / Appraisal, Salary & Benefits",
9314,iTech India,IT Services & Consulting ,3.6,79 Reviews,21 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
9315,FINNEW SOLUTIONS,Financial Services ,4.3,79 Reviews,9 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
9316,Sharadha Terry Products,Fashion & Textile ,3.4,79 Reviews,32 years old,"Salary & Benefits, Job Security, Promotions / Appraisal",
9317,Mahindra Powerol,Industrial Machinery ,3.8,79 Reviews,23 years old,Skill Development / Learning,Promotions / Appraisal
9318,Usha Fire Safety Equipments,Industrial Machinery ,3.5,79 Reviews,36 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Company Culture"
